id,title,categories,abstract,doi,created,updated,authors
2505.00684,visual test-time scaling for gui agent grounding,cs.cv cs.ai cs.lg,"we introduce regionfocus, a visual test-time scaling approach for vision language model agents. understanding webpages is challenging due to the visual complexity of gui images and the large number of interface elements, making accurate action selection difficult. our approach dynamically zooms in on relevant regions, reducing background clutter and improving grounding accuracy. to support this process, we propose an image-as-map mechanism that visualizes key landmarks at each step, providing a transparent action record and enables the agent to effectively choose among action candidates. even with a simple region selection strategy, we observe significant performance gains of 28+\% on screenspot-pro and 24+\% on webvoyager benchmarks on top of two state-of-the-art open vision language model agents, ui-tars and qwen2.5-vl, highlighting the effectiveness of visual test-time scaling in interactive settings. we achieve a new state-of-the-art grounding performance of 61.6\% on the screenspot-pro benchmark by applying regionfocus to a qwen2.5-vl-72b model. our code will be released publicly at https://github.com/tiangeluo/regionfocus.",,2025-05-01,,"['tiange luo', 'lajanugen logeswaran', 'justin johnson', 'honglak lee']"
2505.00703,t2i-r1: reinforcing image generation with collaborative semantic-level   and token-level cot,cs.cv cs.ai cs.cl cs.lg,"recent advancements in large language models have demonstrated how chain-of-thought (cot) and reinforcement learning (rl) can improve performance. however, applying such reasoning strategies to the visual generation domain remains largely unexplored. in this paper, we present t2i-r1, a novel reasoning-enhanced text-to-image generation model, powered by rl with a bi-level cot reasoning process. specifically, we identify two levels of cot that can be utilized to enhance different stages of generation: (1) the semantic-level cot for high-level planning of the prompt and (2) the token-level cot for low-level pixel processing during patch-by-patch generation. to better coordinate these two levels of cot, we introduce bicot-grpo with an ensemble of generation rewards, which seamlessly optimizes both generation cots within the same training step. by applying our reasoning strategies to the baseline model, janus-pro, we achieve superior performance with 13% improvement on t2i-compbench and 19% improvement on the wise benchmark, even surpassing the state-of-the-art model flux.1. code is available at: https://github.com/caraj7/t2i-r1",,2025-05-01,,"['dongzhi jiang', 'ziyu guo', 'renrui zhang', 'zhuofan zong', 'hao li', 'le zhuo', 'shilin yan', 'pheng-ann heng', 'hongsheng li']"
2505.00704,controllable weather synthesis and removal with video diffusion models,cs.gr cs.cv,"generating realistic and controllable weather effects in videos is valuable for many applications. physics-based weather simulation requires precise reconstructions that are hard to scale to in-the-wild videos, while current video editing often lacks realism and control. in this work, we introduce weatherweaver, a video diffusion model that synthesizes diverse weather effects -- including rain, snow, fog, and clouds -- directly into any input video without the need for 3d modeling. our model provides precise control over weather effect intensity and supports blending various weather types, ensuring both realism and adaptability. to overcome the scarcity of paired training data, we propose a novel data strategy combining synthetic videos, generative image editing, and auto-labeled real-world videos. extensive evaluations show that our method outperforms state-of-the-art methods in weather simulation and removal, providing high-quality, physically plausible, and scene-identity-preserving results over various real-world videos.",,2025-05-01,,"['chih-hao lin', 'zian wang', 'ruofan liang', 'yuxuan zhang', 'sanja fidler', 'shenlong wang', 'zan gojcic']"
2505.00935,autonomous embodied agents: when robotics meets deep learning reasoning,cs.ro cs.ai cs.cv,"the increase in available computing power and the deep learning revolution have allowed the exploration of new topics and frontiers in artificial intelligence research. a new field called embodied artificial intelligence, which places at the intersection of computer vision, robotics, and decision making, has been gaining importance during the last few years, as it aims to foster the development of smart autonomous robots and their deployment in society. the recent availability of large collections of 3d models for photorealistic robotic simulation has allowed faster and safe training of learning-based agents for millions of frames and a careful evaluation of their behavior before deploying the models on real robotic platforms. these intelligent agents are intended to perform a certain task in a possibly unknown environment. to this end, during the training in simulation, the agents learn to perform continuous interactions with the surroundings, such as gathering information from the environment, encoding and extracting useful cues for the task, and performing actions towards the final goal; where every action of the agent influences the interactions. this dissertation follows the complete creation process of embodied agents for indoor environments, from their concept to their implementation and deployment. we aim to contribute to research in embodied ai and autonomous agents, in order to foster future work in this field. we present a detailed analysis of the procedure behind implementing an intelligent embodied agent, comprehending a thorough description of the current state-of-the-art in literature, technical explanations of the proposed methods, and accurate experimental studies on relevant robotic tasks.",,2025-05-01,,['roberto bigazzi']
2505.00938,cdformer: cross-domain few-shot object detection transformer against   feature confusion,cs.cv cs.ai,"cross-domain few-shot object detection (cd-fsod) aims to detect novel objects across different domains with limited class instances. feature confusion, including object-background confusion and object-object confusion, presents significant challenges in both cross-domain and few-shot settings. in this work, we introduce cdformer, a cross-domain few-shot object detection transformer against feature confusion, to address these challenges. the method specifically tackles feature confusion through two key modules: object-background distinguishing (obd) and object-object distinguishing (ood). the obd module leverages a learnable background token to differentiate between objects and background, while the ood module enhances the distinction between objects of different classes. experimental results demonstrate that cdformer outperforms previous state-of-the-art approaches, achieving 12.9% map, 11.0% map, and 10.4% map improvements under the 1/5/10 shot settings, respectively, when fine-tuned.",,2025-05-01,,"['boyuan meng', 'xiaohan zhang', 'peilin li', 'zhe wu', 'yiming li', 'wenkai zhao', 'beinan yu', 'hui-liang shen']"
2505.00986,on-demand test-time adaptation for edge devices,cs.lg cs.cv,"continual test-time adaptation (ctta) continuously adapts the deployed model on every incoming batch of data. while achieving optimal accuracy, existing ctta approaches present poor real-world applicability on resource-constrained edge devices, due to the substantial memory overhead and energy consumption. in this work, we first introduce a novel paradigm -- on-demand tta -- which triggers adaptation only when a significant domain shift is detected. then, we present od-tta, an on-demand tta framework for accurate and efficient adaptation on edge devices. od-tta comprises three innovative techniques: 1) a lightweight domain shift detection mechanism to activate tta only when it is needed, drastically reducing the overall computation overhead, 2) a source domain selection module that chooses an appropriate source model for adaptation, ensuring high and robust accuracy, 3) a decoupled batch normalization (bn) update scheme to enable memory-efficient adaptation with small batch sizes. extensive experiments show that od-tta achieves comparable and even better performance while reducing the energy and computation overhead remarkably, making tta a practical reality.",,2025-05-02,,"['xiao ma', 'young d. kwon', 'dong ma']"
2505.00998,deterministic-to-stochastic diverse latent feature mapping for human   motion synthesis,cs.cv,"human motion synthesis aims to generate plausible human motion sequences, which has raised widespread attention in computer animation. recent score-based generative models (sgms) have demonstrated impressive results on this task. however, their training process involves complex curvature trajectories, leading to unstable training process. in this paper, we propose a deterministic-to-stochastic diverse latent feature mapping (dsdfm) method for human motion synthesis. dsdfm consists of two stages. the first human motion reconstruction stage aims to learn the latent space distribution of human motions. the second diverse motion generation stage aims to build connections between the gaussian distribution and the latent space distribution of human motions, thereby enhancing the diversity and accuracy of the generated human motions. this stage is achieved by the designed deterministic feature mapping procedure with derode and stochastic diverse output generation procedure with divsde.dsdfm is easy to train compared to previous sgms-based methods and can enhance diversity without introducing additional training parameters.through qualitative and quantitative experiments, dsdfm achieves state-of-the-art results surpassing the latest methods, validating its superiority in human motion synthesis.",,2025-05-02,,"['yu hua', 'weiming liu', 'gui xu', 'yaqing hou', 'yew-soon ong', 'qiang zhang']"
2505.01007,towards the resistance of neural network watermarking to fine-tuning,cs.lg cs.ai cs.cl cs.cv,"this paper proves a new watermarking method to embed the ownership information into a deep neural network (dnn), which is robust to fine-tuning. specifically, we prove that when the input feature of a convolutional layer only contains low-frequency components, specific frequency components of the convolutional filter will not be changed by gradient descent during the fine-tuning process, where we propose a revised fourier transform to extract frequency components from the convolutional filter. additionally, we also prove that these frequency components are equivariant to weight scaling and weight permutations. in this way, we design a watermark module to encode the watermark information to specific frequency components in a convolutional filter. preliminary experiments demonstrate the effectiveness of our method.",,2025-05-02,,"['ling tang', 'yuefeng chen', 'hui xue', 'quanshi zhang']"
2505.01016,fine-tuning without forgetting: adaptation of yolov8 preserves coco   performance,cs.cv cs.ai,"the success of large pre-trained object detectors hinges on their adaptability to diverse downstream tasks. while fine-tuning is the standard adaptation method, specializing these models for challenging fine-grained domains necessitates careful consideration of feature granularity. the critical question remains: how deeply should the pre-trained backbone be fine-tuned to optimize for the specialized task without incurring catastrophic forgetting of the original general capabilities? addressing this, we present a systematic empirical study evaluating the impact of fine-tuning depth. we adapt a standard yolov8n model to a custom, fine-grained fruit detection dataset by progressively unfreezing backbone layers (freeze points at layers 22, 15, and 10) and training. performance was rigorously evaluated on both the target fruit dataset and, using a dual-head evaluation architecture, on the original coco validation set. our results demonstrate unequivocally that deeper fine-tuning (unfreezing down to layer 10) yields substantial performance gains (e.g., +10\% absolute map50) on the fine-grained fruit task compared to only training the head. strikingly, this significant adaptation and specialization resulted in negligible performance degradation (<0.1\% absolute map difference) on the coco benchmark across all tested freeze levels. we conclude that adapting mid-to-late backbone features is highly effective for fine-grained specialization. critically, our results demonstrate this adaptation can be achieved without the commonly expected penalty of catastrophic forgetting, presenting a compelling case for exploring deeper fine-tuning strategies, particularly when targeting complex domains or when maximizing specialized performance is paramount.",,2025-05-02,,"['vishal gandhi', 'sagar gandhi']"
2505.01263,flowdubber: movie dubbing with llm-based semantic-aware learning and   flow matching based voice enhancing,cs.mm cs.cv cs.sd eess.as,"movie dubbing aims to convert scripts into speeches that align with the given movie clip in both temporal and emotional aspects while preserving the vocal timbre of a given brief reference audio. existing methods focus primarily on reducing the word error rate while ignoring the importance of lip-sync and acoustic quality. to address these issues, we propose a large language model (llm) based flow matching architecture for dubbing, named flowdubber, which achieves high-quality audio-visual sync and pronunciation by incorporating a large speech language model and dual contrastive aligning while achieving better acoustic quality via the proposed voice-enhanced flow matching than previous works. first, we introduce qwen2.5 as the backbone of llm to learn the in-context sequence from movie scripts and reference audio. then, the proposed semantic-aware learning focuses on capturing llm semantic knowledge at the phoneme level. next, dual contrastive aligning (dca) boosts mutual alignment with lip movement, reducing ambiguities where similar phonemes might be confused. finally, the proposed flow-based voice enhancing (fve) improves acoustic quality in two aspects, which introduces an llm-based acoustics flow matching guidance to strengthen clarity and uses affine style prior to enhance identity when recovering noise into mel-spectrograms via gradient vector field prediction. extensive experiments demonstrate that our method outperforms several state-of-the-art methods on two primary benchmarks. the demos are available at {\href{https://galaxycong.github.io/llm-flow-dubber/}{\textcolor{red}{https://galaxycong.github.io/llm-flow-dubber/}}}.",,2025-05-02,,"['gaoxiang cong', 'liang li', 'jiadong pan', 'zhedong zhang', 'amin beheshti', 'anton van den hengel', 'yuankai qi', 'qingming huang']"
2505.01313,a neural architecture search method using auxiliary evaluation metric   based on resnet architecture,cs.ne cs.cv,"this paper proposes a neural architecture search space using resnet as a framework, with search objectives including parameters for convolution, pooling, fully connected layers, and connectivity of the residual network. in addition to recognition accuracy, this paper uses the loss value on the validation set as a secondary objective for optimization. the experimental results demonstrate that the search space of this paper together with the optimisation approach can find competitive network architectures on the mnist, fashion-mnist and cifar100 datasets.",,2025-05-02,,"['shang wang', 'huanrong tang', 'jianquan ouyang']"
2505.01406,vidstamp: a temporally-aware watermark for ownership and integrity in   video diffusion models,cs.cv cs.cr cs.lg,"the rapid rise of video diffusion models has enabled the generation of highly realistic and temporally coherent videos, raising critical concerns about content authenticity, provenance, and misuse. existing watermarking approaches, whether passive, post-hoc, or adapted from image-based techniques, often struggle to withstand video-specific manipulations such as frame insertion, dropping, or reordering, and typically degrade visual quality. in this work, we introduce vidstamp, a watermarking framework that embeds per-frame or per-segment messages directly into the latent space of temporally-aware video diffusion models. by fine-tuning the model's decoder through a two-stage pipeline, first on static image datasets to promote spatial message separation, and then on synthesized video sequences to restore temporal consistency, vidstamp learns to embed high-capacity, flexible watermarks with minimal perceptual impact. leveraging architectural components such as 3d convolutions and temporal attention, our method imposes no additional inference cost and offers better perceptual quality than prior methods, while maintaining comparable robustness against common distortions and tampering. vidstamp embeds 768 bits per video (48 bits per frame) with a bit accuracy of 95.0%, achieves a log p-value of -166.65 (lower is better), and maintains a video quality score of 0.836, comparable to unwatermarked outputs (0.838) and surpassing prior methods in capacity-quality tradeoffs. code: code: \url{https://github.com/spin-umass/vidstamp}",,2025-05-02,,"['mohammadreza teymoorianfard', 'shiqing ma', 'amir houmansadr']"
2505.01583,tempura: temporal event masked prediction and understanding for   reasoning in action,cs.cv cs.ai,"understanding causal event relationships and achieving fine-grained temporal grounding in videos remain challenging for vision-language models. existing methods either compress video tokens to reduce temporal resolution, or treat videos as unsegmented streams, which obscures fine-grained event boundaries and limits the modeling of causal dependencies. we propose tempura (temporal event masked prediction and understanding for reasoning in action), a two-stage training framework that enhances video temporal understanding. tempura first applies masked event prediction reasoning to reconstruct missing events and generate step-by-step causal explanations from dense event annotations, drawing inspiration from effective infilling techniques. tempura then learns to perform video segmentation and dense captioning to decompose videos into non-overlapping events with detailed, timestamp-aligned descriptions. we train tempura on ver, a large-scale dataset curated by us that comprises 1m training instances and 500k videos with temporally aligned event descriptions and structured reasoning steps. experiments on temporal grounding and highlight detection benchmarks demonstrate that tempura outperforms strong baseline models, confirming that integrating causal reasoning with fine-grained temporal segmentation leads to improved video understanding.",,2025-05-02,,"['jen-hao cheng', 'vivian wang', 'huayu wang', 'huapeng zhou', 'yi-hao peng', 'hou-i liu', 'hsiang-wei huang', 'kuang-ming chen', 'cheng-yen yang', 'wenhao chai', 'yi-ling chen', 'vibhav vineet', 'qin cai', 'jenq-neng hwang']"
2505.01657,ragar: retrieval augment personalized image generation guided by   recommendation,cs.ir cs.cv,"personalized image generation is crucial for improving the user experience, as it renders reference images into preferred ones according to user visual preferences. although effective, existing methods face two main issues. first, existing methods treat all items in the user historical sequence equally when extracting user preferences, overlooking the varying semantic similarities between historical items and the reference item. disproportionately high weights for low-similarity items distort users' visual preferences for the reference item. second, existing methods heavily rely on consistency between generated and reference images to optimize the generation, which leads to underfitting user preferences and hinders personalization. to address these issues, we propose retrieval augment personalized image generation guided by recommendation (ragar). our approach uses a retrieval mechanism to assign different weights to historical items according to their similarities to the reference item, thereby extracting more refined users' visual preferences for the reference item. then we introduce a novel rank task based on the multi-modal ranking model to optimize the personalization of the generated images instead of forcing depend on consistency. extensive experiments and human evaluations on three real-world datasets demonstrate that ragar achieves significant improvements in both personalization and semantic metrics compared to five baselines.",,2025-05-02,,"['run ling', 'wenji wang', 'yuting liu', 'guibing guo', 'linying jiang', 'xingwei wang']"
2505.01713,vision and intention boost large language model in long-term action   anticipation,cs.cv,"long-term action anticipation (lta) aims to predict future actions over an extended period. previous approaches primarily focus on learning exclusively from video data but lack prior knowledge. recent researches leverage large language models (llms) by utilizing text-based inputs which suffer severe information loss. to tackle these limitations single-modality methods face, we propose a novel intention-conditioned vision-language (icvl) model in this study that fully leverages the rich semantic information of visual data and the powerful reasoning capabilities of llms. considering intention as a high-level concept guiding the evolution of actions, we first propose to employ a vision-language model (vlm) to infer behavioral intentions as comprehensive textual features directly from video inputs. the inferred intentions are then fused with visual features through a multi-modality fusion strategy, resulting in intention-enhanced visual representations. these enhanced visual representations, along with textual prompts, are fed into llm for future action anticipation. furthermore, we propose an effective example selection strategy jointly considers visual and textual similarities, providing more relevant and informative examples for in-context learning. extensive experiments with state-of-the-art performance on ego4d, epic-kitchens-55, and egtea gaze+ datasets fully demonstrate the effectiveness and superiority of the proposed method.",,2025-05-03,,"['congqi cao', 'lanshu hu', 'yating yu', 'yanning zhang']"
2505.01743,an llm-empowered low-resolution vision system for on-device human   behavior understanding,cs.cv cs.ai cs.lg,"the rapid advancements in large vision language models (lvlms) offer the potential to surpass conventional labeling by generating richer, more detailed descriptions of on-device human behavior understanding (hbu) in low-resolution vision systems, such as depth, thermal, and infrared. however, existing large vision language model (lvlm) approaches are unable to understand low-resolution data well as they are primarily designed for high-resolution data, such as rgb images. a quick fixing approach is to caption a large amount of low-resolution data, but it requires a significant amount of labor-intensive annotation efforts. in this paper, we propose a novel, labor-saving system, llambda, designed to support low-resolution hbu. the core idea is to leverage limited labeled data and a large amount of unlabeled data to guide llms in generating informative captions, which can be combined with raw data to effectively fine-tune lvlm models for understanding low-resolution videos in hbu. first, we propose a contrastive-oriented data labeler, which can capture behavior-relevant information from long, low-resolution videos and generate high-quality pseudo labels for unlabeled data via contrastive learning. second, we propose a physical-knowledge guided captioner, which utilizes spatial and temporal consistency checks to mitigate errors in pseudo labels. therefore, it can improve llms' understanding of sequential data and then generate high-quality video captions. finally, to ensure on-device deployability, we employ lora-based efficient fine-tuning to adapt lvlms for low-resolution data. we evaluate llambda using a region-scale real-world testbed and three distinct low-resolution datasets, and the experiments show that llambda outperforms several state-of-the-art lvlm systems up to $40.03\%$ on average bert-score.",,2025-05-03,,"['siyang jiang', 'bufang yang', 'lilin xu', 'mu yuan', 'yeerzhati abudunuer', 'kaiwei liu', 'liekang zeng', 'hongkai chen', 'zhenyu yan', 'xiaofan jiang', 'guoliang xing']"
2505.01958,a comprehensive analysis for visual object hallucination in large   vision-language models,cs.cv cs.cl,"large vision-language models (lvlms) demonstrate remarkable capabilities in multimodal tasks, but visual object hallucination remains a persistent issue. it refers to scenarios where models generate inaccurate visual object-related information based on the query input, potentially leading to misinformation and concerns about safety and reliability. previous works focus on the evaluation and mitigation of visual hallucinations, but the underlying causes have not been comprehensively investigated. in this paper, we analyze each component of llava-like lvlms -- the large language model, the vision backbone, and the projector -- to identify potential sources of error and their impact. based on our observations, we propose methods to mitigate hallucination for each problematic component. additionally, we developed two hallucination benchmarks: qa-visualgenome, which emphasizes attribute and relation hallucinations, and qa-fb15k, which focuses on cognition-based hallucinations.",,2025-05-03,,"['liqiang jing', 'guiming hardy chen', 'ehsan aghazadeh', 'xin eric wang', 'xinya du']"
2505.01996,always skip attention,cs.lg cs.cv,"we highlight a curious empirical result within modern vision transformers (vits). specifically, self-attention catastrophically fails to train unless it is used in conjunction with a skip connection. this is in contrast to other elements of a vit that continue to exhibit good performance (albeit suboptimal) when skip connections are removed. further, we show that this critical dependence on skip connections is a relatively new phenomenon, with previous deep architectures (\eg, cnns) exhibiting good performance in their absence. in this paper, we theoretically characterize that the self-attention mechanism is fundamentally ill-conditioned and is, therefore, uniquely dependent on skip connections for regularization. additionally, we propose token graying -- a simple yet effective complement (to skip connections) that further improves the condition of input tokens. we validate our approach in both supervised and self-supervised training methods.",,2025-05-04,,"['yiping ji', 'hemanth saratchandran', 'peyman moghaddam', 'simon lucey']"
