id,title,categories,abstract,doi,created,updated,authors
2301.02008,expressive speech-driven facial animation with controllable emotions,cs.cv,"it is in high demand to generate facial animation with high realism, but it remains a challenging task. existing approaches of speech-driven facial animation can produce satisfactory mouth movement and lip synchronization, but show weakness in dramatic emotional expressions and flexibility in emotion control. this paper presents a novel deep learning-based approach for expressive facial animation generation from speech that can exhibit wide-spectrum facial expressions with controllable emotion type and intensity. we propose an emotion controller module to learn the relationship between the emotion variations (e.g., types and intensity) and the corresponding facial expression parameters. it enables emotion-controllable facial animation, where the target expression can be continuously adjusted as desired. the qualitative and quantitative evaluations show that the animation generated by our method is rich in facial emotional expressiveness while retaining accurate lip movement, outperforming other state-of-the-art methods.",10.1109/icmew59549.2023.00073,2023-01-05,2024-01-04,"['yutong chen', 'junhong zhao', 'wei-qiang zhang']"
2301.11564,learning 6-dof fine-grained grasp detection based on part affordance   grounding,cs.ro cs.cl cs.cv cs.hc,"robotic grasping is a fundamental ability for a robot to interact with the environment. current methods focus on how to obtain a stable and reliable grasping pose in object level, while little work has been studied on part (shape)-wise grasping which is related to fine-grained grasping and robotic affordance. parts can be seen as atomic elements to compose an object, which contains rich semantic knowledge and a strong correlation with affordance. however, lacking a large part-wise 3d robotic dataset limits the development of part representation learning and downstream applications. in this paper, we propose a new large language-guided shape grasping dataset (named langshape) to promote 3d part-level affordance and grasping ability learning. from the perspective of robotic cognition, we design a two-stage fine-grained robotic grasping framework (named langpartgpd), including a novel 3d part language grounding model and a part-aware grasp pose detection model, in which explicit language input from human or large language models (llms) could guide a robot to generate part-level 6-dof grasping pose with textual explanation. our method combines the advantages of human-robot collaboration and llms' planning ability using explicit language as a symbolic intermediate. to evaluate the effectiveness of our proposed method, we perform 3d part grounding and fine-grained grasp detection experiments on both simulation and physical robot settings, following language instructions across different degrees of textual complexity. results show our method achieves competitive performance in 3d geometry fine-grained grounding, object affordance inference, and 3d part-aware grasping tasks. our dataset and code are available on our project website https://sites.google.com/view/lang-shape",,2023-01-27,2025-04-30,"['yaoxian song', 'penglei sun', 'piaopiao jin', 'yi ren', 'yu zheng', 'zhixu li', 'xiaowen chu', 'yue zhang', 'tiefeng li', 'jason gu']"
2302.06308,fine-tuning is a surprisingly effective domain adaptation baseline in   handwriting recognition,cs.cv,"in many machine learning tasks, a large general dataset and a small specialized dataset are available. in such situations, various domain adaptation methods can be used to adapt a general model to the target dataset. we show that in the case of neural networks trained for handwriting recognition using ctc, simple fine-tuning with data augmentation works surprisingly well in such scenarios and that it is resistant to overfitting even for very small target domain datasets. we evaluated the behavior of fine-tuning with respect to augmentation, training data size, and quality of the pre-trained network, both in writer-dependent and writer-independent settings. on a large real-world dataset, fine-tuning on new writers provided an average relative cer improvement of 25 % for 16 text lines and 50 % for 256 text lines.",,2023-02-13,2025-04-30,"['jan kohút', 'michal hradiš']"
2302.06318,towards writing style adaptation in handwriting recognition,cs.cv,"one of the challenges of handwriting recognition is to transcribe a large number of vastly different writing styles. state-of-the-art approaches do not explicitly use information about the writer's style, which may be limiting overall accuracy due to various ambiguities. we explore models with writer-dependent parameters which take the writer's identity as an additional input. the proposed models can be trained on datasets with partitions likely written by a single author (e.g. single letter, diary, or chronicle). we propose a writer style block (wsb), an adaptive instance normalization layer conditioned on learned embeddings of the partitions. we experimented with various placements and settings of wsb and contrastively pre-trained embeddings. we show that our approach outperforms a baseline with no wsb in a writer-dependent scenario and that it is possible to estimate embeddings for new writers. however, domain adaptation using simple fine-tuning in a writer-independent setting provides superior accuracy at a similar computational cost. the proposed approach should be further investigated in terms of training stability and embedding regularization to overcome such a baseline.",,2023-02-13,2025-04-30,"['jan kohút', 'michal hradiš', 'martin kišš']"
2303.08068,style feature extraction using contrastive conditioned variational   autoencoders with mutual information constraints,cs.cv cs.lg stat.ml,"extracting fine-grained features such as styles from unlabeled data is crucial for data analysis. unsupervised methods such as variational autoencoders (vaes) can extract styles that are usually mixed with other features. conditional vaes (cvaes) can isolate styles using class labels; however, there are no established methods to extract only styles using unlabeled data. in this paper, we propose a cvae-based method that extracts style features using only unlabeled data. the proposed model consists of a contrastive learning (cl) part that extracts style-independent features and a cvae part that extracts style features. the cl model learns representations independent of data augmentation, which can be viewed as a perturbation in styles, in a self-supervised manner. considering the style-independent features from the pretrained cl model as a condition, the cvae learns to extract only styles. additionally, we introduce a constraint based on mutual information between the cl and vae features to prevent the cvae from ignoring the condition. experiments conducted using two simple datasets, mnist and an original dataset based on google fonts, demonstrate that the proposed method can efficiently extract style features. further experiments using real-world natural image datasets were also conducted to illustrate the method's extendability.",10.1109/tkde.2025.3543383,2023-02-03,2023-03-16,"['suguru yasutomi', 'toshihisa tanaka']"
2303.12484,label-efficient deep learning in medical image analysis: challenges and   future directions,cs.cv cs.ai,"deep learning has significantly advanced medical imaging analysis (mia), achieving state-of-the-art performance across diverse clinical tasks. however, its success largely depends on large-scale, high-quality labeled datasets, which are costly and time-consuming to obtain due to the need for expert annotation. to mitigate this limitation, label-efficient deep learning methods have emerged to improve model performance under limited supervision by leveraging labeled, unlabeled, and weakly labeled data. in this survey, we systematically review over 350 peer-reviewed studies and present a comprehensive taxonomy of label-efficient learning methods in mia. these methods are categorized into four labeling paradigms: no label, insufficient label, inexact label, and label refinement. for each category, we analyze representative techniques across imaging modalities and clinical applications, highlighting shared methodological principles and task-specific adaptations. we also examine the growing role of health foundation models (hfms) in enabling label-efficient learning through large-scale pre-training and transfer learning, enhancing the use of limited annotations in downstream tasks. finally, we identify current challenges and future directions to facilitate the translation of label-efficient learning from research promise to everyday clinical care.",,2023-03-22,2025-05-08,"['cheng jin', 'zhengrui guo', 'yi lin', 'luyang luo', 'hao chen']"
2303.12675,vecfontsdf: learning to reconstruct and synthesize high-quality vector   fonts via signed distance functions,cs.cv,"font design is of vital importance in the digital content design and modern printing industry. developing algorithms capable of automatically synthesizing vector fonts can significantly facilitate the font design process. however, existing methods mainly concentrate on raster image generation, and only a few approaches can directly synthesize vector fonts. this paper proposes an end-to-end trainable method, vecfontsdf, to reconstruct and synthesize high-quality vector fonts using signed distance functions (sdfs). specifically, based on the proposed sdf-based implicit shape representation, vecfontsdf learns to model each glyph as shape primitives enclosed by several parabolic curves, which can be precisely converted to quadratic b\'ezier curves that are widely used in vector font products. in this manner, most image generation methods can be easily extended to synthesize vector fonts. qualitative and quantitative experiments conducted on a publicly-available dataset demonstrate that our method obtains high-quality results on several tasks, including vector font reconstruction, interpolation, and few-shot vector font synthesis, markedly outperforming the state of the art. our code and trained models are available at https://xiazeqing.github.io/vecfontsdf.",,2023-03-22,2025-05-06,"['zeqing xia', 'bojun xiong', 'zhouhui lian']"
2305.00046,an automated end-to-end deep learning-based framework for lung cancer   diagnosis by detecting and classifying the lung nodules,eess.iv cs.ai cs.cv,"lung cancer is a leading cause of cancer-related deaths worldwide, and early detection is crucial for improving patient outcomes. nevertheless, early diagnosis of cancer is a major challenge, particularly in low-resource settings where access to medical resources and trained radiologists is limited. the objective of this study is to propose an automated end-to-end deep learning-based framework for the early detection and classification of lung nodules, specifically for low-resource settings. the proposed framework consists of three stages: lung segmentation using a modified 3d u-net named 3d res-u-net, nodule detection using yolo-v5, and classification with a vision transformer-based architecture. we evaluated the proposed framework on a publicly available dataset, luna16. the proposed framework's performance was measured using the respective domain's evaluation matrices. the proposed framework achieved a 98.82% lung segmentation dice score while detecting the lung nodule with 0.76 map@50 from the segmented lung, at a low false-positive rate. the performance of both networks of the proposed framework was compared with other studies and found to outperform them regarding segmentation and detection accuracy. additionally, our proposed vision transformer network obtained an accuracy of 93.57%, which is 1.21% higher than the state-of-the-art networks. our proposed end-to-end deep learning-based framework can effectively segment lungs, and detect and classify lung nodules, specifically in low-resource settings with limited access to radiologists. the proposed framework outperforms existing studies regarding all the respective evaluation metrics. the proposed framework can potentially improve the accuracy and efficiency of lung cancer screening in low-resource settings, ultimately leading to better patient outcomes.",,2023-04-28,2025-05-07,"['samiul based shuvo', 'tasnia binte mamun']"
2305.13800,generalizable synthetic image detection via language-guided contrastive   learning,cs.cv,"the heightened realism of ai-generated images can be attributed to the rapid development of synthetic models, including generative adversarial networks (gans) and diffusion models (dms). the malevolent use of synthetic images, such as the dissemination of fake news or the creation of fake profiles, however, raises significant concerns regarding the authenticity of images. though many forensic algorithms have been developed for detecting synthetic images, their performance, especially the generalization capability, is still far from being adequate to cope with the increasing number of synthetic models. in this work, we propose a simple yet very effective synthetic image detection method via a language-guided contrastive learning. specifically, we augment the training images with carefully-designed textual labels, enabling us to use a joint visual-language contrastive supervision for learning a forensic feature space with better generalization. it is shown that our proposed language-guided synthesis detection (lasted) model achieves much improved generalizability to unseen image generation models and delivers promising performance that far exceeds state-of-the-art competitors over four datasets. the code is available at https://github.com/highwaywu/lasted.",,2023-05-23,2025-04-29,"['haiwei wu', 'jiantao zhou', 'shile zhang']"
2305.18708,infrared image deturbulence restoration using degradation   parameter-assisted wide & deep learning,cs.cv eess.iv,"infrared images captured under turbulent conditions are degraded by complex geometric distortions and blur. we address infrared deturbulence as an image restoration task, proposing dparnet, a parameter-assisted multi-frame network with a wide & deep architecture. dparnet learns a degradation prior (key parameter matrix) directly from degraded images without external knowledge. its wide & deep architecture uses these learned parameters to directly modulate restoration, achieving spatially and intensity adaptive results. evaluated on dedicated infrared deturbulence (49,744 images) and visible image denoising (109,536 images) datasets, dparnet significantly outperforms state-of-the-art (sota) methods in restoration performance and efficiency. notably, leveraging these parameters improves psnr by 0.6-1.1 db with less than 2% increase in model parameters and computational complexity. our work demonstrates that degraded images hide key degradation information that can be learned and utilized to boost adaptive image restoration.",,2023-05-29,2025-05-06,"['yi lu', 'yadong wang', 'xingbo jiang', 'xiangzhi bai']"
2306.03271,volumetric medical image segmentation through dual self-distillation in   u-shaped networks,eess.iv cs.cv,"u-shaped networks and its variants have demonstrated exceptional results for medical image segmentation. in this paper, we propose a novel dual self-distillation (dsd) framework in u-shaped networks for volumetric medical image segmentation. dsd distills knowledge from the ground-truth segmentation labels to the decoder layers. additionally, dsd also distills knowledge from the deepest decoder and encoder layer to the shallower decoder and encoder layers respectively of a single u-shaped network. dsd is a general training strategy that could be attached to the backbone architecture of any u-shaped network to further improve its segmentation performance. we attached dsd on several state-of-the-art u-shaped backbones, and extensive experiments on various public 3d medical image segmentation datasets (cardiac substructure, brain tumor and hippocampus) demonstrated significant improvement over the same backbones without dsd. on average, after attaching dsd to the u-shaped backbones, we observed an increase of 2.82\%, 4.53\% and 1.3\% in dice similarity score, a decrease of 7.15 mm, 6.48 mm and 0.76 mm in the hausdorff distance, for cardiac substructure, brain tumor and hippocampus segmentation, respectively. these improvements were achieved with negligible increase in the number of trainable parameters and training time. our proposed dsd framework also led to significant qualitative improvements for cardiac substructure, brain tumor and hippocampus segmentation over the u-shaped backbones. the source code is publicly available at https://github.com/soumbane/dualselfdistillation.",,2023-06-05,2025-05-01,"['soumyanil banerjee', 'nicholas summerfield', 'ming dong', 'carri glide-hurst']"
2306.07971,xraygpt: chest radiographs summarization using medical vision-language   models,cs.cv,"the latest breakthroughs in large vision-language models, such as bard and gpt-4, have showcased extraordinary abilities in performing a wide range of tasks. such models are trained on massive datasets comprising billions of public image-text pairs with diverse tasks. however, their performance on task-specific domains, such as radiology, is still under-investigated and potentially limited due to a lack of sophistication in understanding biomedical images. on the other hand, conversational medical models have exhibited remarkable success but have mainly focused on text-based analysis. in this paper, we introduce xraygpt, a novel conversational medical vision-language model that can analyze and answer open-ended questions about chest radiographs. specifically, we align both medical visual encoder (medclip) with a fine-tuned large language model (vicuna), using a simple linear transformation. this alignment enables our model to possess exceptional visual conversation abilities, grounded in a deep understanding of radiographs and medical domain knowledge. to enhance the performance of llms in the medical context, we generate ~217k interactive and high-quality summaries from free-text radiology reports. these summaries serve to enhance the performance of llms through the fine-tuning process. our approach opens up new avenues the research for advancing the automated analysis of chest radiographs. our open-source demos, models, and instruction sets are available at: https://github.com/mbzuai-oryx/xraygpt.",,2023-06-13,2025-05-07,"['omkar thawakar', 'abdelrahman shaker', 'sahal shaji mullappilly', 'hisham cholakkal', 'rao muhammad anwer', 'salman khan', 'jorma laaksonen', 'fahad shahbaz khan']"
2306.11891,vitalvideos-europe: a dataset of face videos with ppg and blood pressure   ground truths,cs.cv,"we collected a large dataset consisting of 850 unique participants. for every participant we recorded two 30 second uncompressed videos, synchronized ppg waveforms and a single blood pressure measurement. gender, age and skin color were also registered for every participant. the dataset includes roughly equal numbers of males and females, as well as participants of all ages. while the skin color distribution could have been more balanced, the dataset contains individuals from every skin color. the data was collected in a diverse set of locations to ensure a wide variety of backgrounds and lighting conditions. in an effort to assist in the research and development of remote vital sign measurement we are now opening up access to this dataset.   vitalvideos.org for all datasets.",,2023-06-02,2025-05-01,['pieter-jan toye']
2306.16122,semantic positive pairs for enhancing visual representation learning of   instance discrimination methods,cs.cv cs.lg,"self-supervised learning algorithms (ssl) based on instance discrimination have shown promising results, performing competitively or even outperforming supervised learning counterparts in some downstream tasks. such approaches employ data augmentation to create two views of the same instance (i.e., positive pairs) and encourage the model to learn good representations by attracting these views closer in the embedding space without collapsing to the trivial solution. however, data augmentation is limited in representing positive pairs, and the repulsion process between the instances during contrastive learning may discard important features for instances that have similar categories. to address this issue, we propose an approach to identify those images with similar semantic content and treat them as positive instances, thereby reducing the chance of discarding important features during representation learning and increasing the richness of the latent representation. our approach is generic and could work with any self-supervised instance discrimination frameworks such as moco and simsiam. to evaluate our method, we run experiments on three benchmark datasets: imagenet, stl-10 and cifar-10 with different instance discrimination ssl approaches. the experimental results show that our approach consistently outperforms the baseline methods across all three datasets; for instance, we improve upon the vanilla moco-v2 by 4.1% on imagenet under a linear evaluation protocol over 800 epochs. we also report results on semi-supervised learning, transfer learning on downstream tasks, and object detection.",,2023-06-28,2025-04-30,"['mohammad alkhalefi', 'georgios leontidis', 'mingjun zhong']"
2307.11470,semi-supervised underwater image enhancement using a physics-aware   triple-stream network,cs.cv,"underwater images normally suffer from degradation due to the transmission medium of water bodies. both traditional prior-based approaches and deep learning-based methods have been used to address this problem. however, the inflexible assumption of the former often impairs their effectiveness in handling diverse underwater scenes, while the generalization of the latter to unseen images is usually weakened by insufficient data. in this study, we leverage both the physics-based image formation model (ifm) and deep learning techniques for underwater image enhancement (uie). to this end, we propose a novel physics-aware triple-stream underwater image enhancement network, i.e., pats-uienet, which comprises a direct signal transmission estimation steam (d-stream), a backscatter signal transmission estimation steam (b-stream) and an ambient light estimation stream (a-stream). this network fulfills the uie task by explicitly estimating the degradation parameters of a revised ifm. we also adopt an ifm-inspired semi-supervised learning framework, which exploits both the labeled and unlabeled images, to address the issue of insufficient data. to our knowledge, such a physics-aware deep network and the ifm-inspired semi-supervised learning framework have not been used for the uie task before. our method performs better than, or at least comparably to, sixteen baselines across six testing sets in the degradation estimation and uie tasks. these promising results should be due to the fact that the proposed method can not only model the degradation but also learn the characteristics of diverse underwater scenes.",,2023-07-21,2025-05-07,"['shixuan xu', 'hao qi', 'xinghui dong']"
